sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,32992,-0.665,-4.911,-9.978,
Sensor_0x53,33026,2.865,-1.781,11.522,
Sensor_0x53,33061,-0.265,-4.291,-5.348,
Sensor_0x53,33094,0.595,-5.231,-1.818,
Sensor_0x53,33130,3.105,-3.891,7.282,
Sensor_0x53,33164,0.985,-2.641,-7.308,
Sensor_0x53,33199,2.395,-4.681,6.502,
Sensor_0x53,33233,1.375,-2.091,-3.858,
Sensor_0x53,33267,3.885,-9.391,8.302,
Sensor_0x53,33302,-1.525,9.439,4.612,
Sensor_0x53,33336,-3.175,0.029,0.532,
Sensor_0x53,33370,-5.765,-2.011,1.322,
Sensor_0x53,33405,-9.525,-5.151,3.832,
Sensor_0x53,33438,-11.885,-10.641,-2.368,
Sensor_0x53,33472,-18.395,-10.561,-18.138,
Sensor_0x53,33503,-104.535,-57.401,-33.038,
Sensor_0x53,33537,-23.805,32.509,136.732,
Sensor_0x53,33569,-32.515,-1.071,-85.998,
Sensor_0x53,33602,-57.935,-0.441,35.292,
Sensor_0x53,33637,-33.145,0.889,43.842,
Sensor_0x53,33670,-22.155,-7.501,-77.058,
Sensor_0x53,33702,-11.805,0.109,55.842,
Sensor_0x53,33737,-34.005,-2.091,4.612,
Sensor_0x53,33770,-25.455,-5.931,-43.948,
Sensor_0x53,33804,5.375,1.989,59.532,
Sensor_0x53,33839,-21.375,-5.231,-36.018,
Sensor_0x53,33870,-20.195,-3.351,-5.188,
Sensor_0x53,33906,-0.425,0.659,39.212,
Sensor_0x53,33939,-11.175,-5.461,-46.928,
Sensor_0x53,33972,-6.545,-1.541,24.312,
Sensor_0x53,34007,-8.745,-1.071,13.092,
Sensor_0x53,34040,-9.915,-4.991,-36.098,
Sensor_0x53,34075,4.755,0.889,35.682,
Sensor_0x53,34109,-9.215,-2.721,-15.708,
Sensor_0x53,34143,-7.485,-3.351,-4.488,
Sensor_0x53,34178,3.335,-0.441,26.582,
Sensor_0x53,34212,-5.525,-4.371,-31.158,
Sensor_0x53,34246,0.675,-0.911,18.272,
Sensor_0x53,34282,-3.485,-1.851,2.422,
Sensor_0x53,34315,-4.425,-3.111,-19.548,
Sensor_0x53,34349,5.065,-0.131,23.522,
Sensor_0x53,34384,1.375,57.299,-16.248,
Sensor_0x53,34418,-4.425,-9.071,29.482,
Sensor_0x53,34452,23.425,-8.761,-14.688,
Sensor_0x53,34487,-1.915,-2.721,10.662,
Sensor_0x53,34521,3.495,-3.661,2.502,
Sensor_0x53,34555,4.435,-3.581,-0.638,
Sensor_0x53,34591,3.575,-0.521,-0.718,
Sensor_0x53,34625,3.805,-2.011,2.502,
Sensor_0x53,34661,3.805,-4.601,0.692,
Sensor_0x53,34697,5.225,-2.091,-0.638,
Sensor_0x53,34731,4.515,-2.561,-2.208,
Sensor_0x53,34767,1.065,-0.991,-1.268,
Sensor_0x53,34801,5.775,-0.991,2.812,
Sensor_0x53,34836,7.735,1.519,-0.408,
Sensor_0x53,34871,8.365,-1.781,5.242,
Sensor_0x53,34907,10.085,-6.011,-6.368,
Sensor_0x53,34941,9.455,-0.601,6.582,
Sensor_0x53,34977,6.165,-13.541,6.182,
Sensor_0x53,35010,-5.995,-2.641,20.382,
Sensor_0x53,35043,-16.585,-5.621,-55.168,
Sensor_0x53,35077,0.905,2.069,49.412,
Sensor_0x53,35111,-19.645,-2.401,-10.998,
Sensor_0x53,35144,-16.985,-3.661,-22.998,
Sensor_0x53,35179,5.225,1.439,43.532,
Sensor_0x53,35213,-11.405,-3.581,-38.058,
Sensor_0x53,35246,-8.895,-0.991,11.522,
Sensor_0x53,35282,-3.325,-0.211,20.382,
Sensor_0x53,35315,-7.405,-3.821,-37.988,
Sensor_0x53,35349,3.105,0.499,30.032,
Sensor_0x53,35385,-7.725,-1.701,-10.368,
Sensor_0x53,35418,-6.935,-2.331,-13.188,
Sensor_0x53,35454,3.965,0.339,26.352,
Sensor_0x53,35488,-4.815,-3.581,-28.808,
Sensor_0x53,35522,0.275,-0.291,15.992,
Sensor_0x53,35558,-2.155,-1.311,4.932,
Sensor_0x53,35591,-4.425,-2.871,-20.648,
