sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,78273264,-0.113,0.022,-0.224,
Sensor_0x53,78274147,-0.558,-0.175,-0.104,
Sensor_0x1D,78274445,0.044,0.022,-0.067,
Sensor_0x53,78275186,0.384,0.139,0.21,
Sensor_0x1D,78275639,0.044,0.1,-0.067,
Sensor_0x53,78276232,-0.008,-0.175,-0.025,
Sensor_0x1D,78276774,-0.113,0.022,0.169,
Sensor_0x53,78277261,0.541,0.06,0.445,
Sensor_0x1D,78277921,-0.191,0.1,-0.067,
Sensor_0x53,78278335,-0.087,-0.254,-0.104,
Sensor_0x1D,78279056,-0.113,0.1,-0.067,
Sensor_0x53,78279368,0.384,0.139,0.21,
Sensor_0x1D,78280212,0.044,0.022,0.012,
Sensor_0x53,78280440,-0.087,-0.175,-0.025,
Sensor_0x1D,78281401,0.044,0.1,-0.067,
Sensor_0x53,78281483,-0.008,0.374,0.131,
Sensor_0x53,78282526,-0.087,-0.097,-0.104,
Sensor_0x1D,78282624,-0.113,0.1,0.561,
Sensor_0x53,78283557,-0.008,0.139,0.131,
Sensor_0x1D,78283766,-0.191,0.414,-0.067,
Sensor_0x53,78284632,-0.401,-0.254,-0.182,
Sensor_0x1D,78284908,0.044,-0.056,0.404,
Sensor_0x53,78285662,-0.008,-0.332,-0.182,
Sensor_0x1D,78286064,0.122,-0.135,-0.145,
Sensor_0x53,78286699,-0.165,0.139,-0.025,
Sensor_0x1D,78287216,0.044,0.022,0.012,
Sensor_0x53,78287735,-0.322,-0.097,0.131,
Sensor_0x1D,78288377,-0.113,-0.135,-0.067,
Sensor_0x53,78288775,-0.008,0.139,0.681,
Sensor_0x1D,78289522,0.044,0.1,-0.067,
Sensor_0x53,78289805,-0.322,-0.097,0.053,
Sensor_0x1D,78290709,0.044,0.1,-0.067,
Sensor_0x53,78290879,-0.165,0.139,0.367,
Sensor_0x1D,78291861,0.044,0.022,0.482,
Sensor_0x53,78291913,0.148,-0.489,-0.261,
Sensor_0x53,78292953,-0.087,0.374,0.131,
Sensor_0x1D,78293060,0.044,0.179,-0.067,
Sensor_0x53,78293994,-0.401,-0.018,0.21,
Sensor_0x1D,78294241,-0.113,0.1,-0.067,
Sensor_0x53,78295033,0.148,0.217,0.21,
Sensor_0x1D,78295403,-0.113,-0.213,-0.145,
Sensor_0x53,78296063,-0.087,0.06,0.053,
Sensor_0x1D,78296564,0.044,0.022,-0.067,
Sensor_0x53,78297136,0.07,0.374,0.288,
Sensor_0x1D,78297707,-0.113,0.022,-0.067,
Sensor_0x53,78298169,-0.087,0.139,-0.025,
Sensor_0x1D,78298874,0.122,0.1,-0.145,
Sensor_0x53,78299243,-0.165,-0.018,0.21,
Sensor_0x1D,78300047,0.044,-0.056,0.09,
Sensor_0x53,78300278,-0.087,-0.175,0.367,
Sensor_0x1D,78301223,0.044,0.1,0.09,
Sensor_0x53,78301318,-0.008,0.06,-0.182,
Sensor_0x53,78302348,-0.244,0.139,-0.025,
Sensor_0x1D,78302414,0.122,0.022,-0.067,
Sensor_0x53,78303421,0.305,0.217,-0.339,
Sensor_0x1D,78303605,-0.113,0.022,-0.145,
Sensor_0x53,78304459,-0.008,0.139,-0.025,
Sensor_0x1D,78304756,0.122,0.1,0.247,
Sensor_0x53,78305536,0.148,0.217,-0.025,
Sensor_0x1D,78305901,-0.191,0.1,0.482,
Sensor_0x53,78306570,-0.087,0.06,-0.025,
Sensor_0x1D,78307053,0.044,0.1,-0.067,
Sensor_0x53,78307611,-0.087,0.374,-0.339,
Sensor_0x1D,78308198,0.122,0.022,0.012,
Sensor_0x53,78308641,-0.008,-0.254,0.053,
Sensor_0x1D,78309389,-0.191,0.022,-0.067,
Sensor_0x53,78309680,-0.165,-0.097,0.21,
Sensor_0x1D,78310592,-0.035,0.1,-0.067,
Sensor_0x53,78310715,0.07,0.452,0.131,
Sensor_0x53,78311755,-0.322,-0.254,0.053,
Sensor_0x1D,78311783,-0.191,0.1,0.169,
Sensor_0x53,78312790,0.462,0.139,0.21,
Sensor_0x1D,78312926,-0.035,0.336,-0.067,
Sensor_0x53,78313830,-0.087,-0.175,-0.339,
Sensor_0x1D,78314082,-0.035,0.022,0.169,
